"filename", "language", "JSON with Comments", "JSON", "Markdown", "pip requirements", "TypeScript", "JavaScript", "Shell Script", "comment", "blank", "total"
"c:\Users\kunal\Desktop\perojecccttt\wms-project\wms-backend\src\modules\operations\outward\entities\dispatch_scans.entity.ts", "TypeScript", 0, 0, 0, 0, 13, 0, 0, 0, 5, 18
"c:\Users\kunal\Desktop\perojecccttt\wms-project\wms-backend\src\modules\operations\outward\entities\outward.entity.ts", "TypeScript", 0, 0, 0, 0, 13, 0, 0, 0, 3, 16
"c:\Users\kunal\Desktop\perojecccttt\wms-project\wms-backend\src\modules\operations\outward\entities\outward_Status.enum.ts", "TypeScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 6
"c:\Users\kunal\Desktop\perojecccttt\wms-project\wms-backend\src\modules\operations\outward\outward.controller.ts", "TypeScript", 0, 0, 0, 0, 3, 0, 0, 0, 3, 6
"c:\Users\kunal\Desktop\perojecccttt\wms-project\wms-backend\src\modules\operations\outward\outward.module.ts", "TypeScript", 0, 0, 0, 0, 9, 0, 0, 0, 3, 12
"c:\Users\kunal\Desktop\perojecccttt\wms-project\wms-backend\src\modules\operations\outward\outward.service.ts", "TypeScript", 0, 0, 0, 0, 127, 0, 0, 2, 31, 160
"c:\Users\kunal\Desktop\perojecccttt\wms-project\wms-backend\src\modules\partner\customer\customer.controller.ts", "TypeScript", 0, 0, 0, 0, 47, 0, 0, 2, 7, 56
"c:\Users\kunal\Desktop\perojecccttt\wms-project\wms-backend\src\modules\partner\customer\customer.module.ts", "TypeScript", 0, 0, 0, 0, 15, 0, 0, 0, 3, 18
"c:\Users\kunal\Desktop\perojecccttt\wms-project\wms-backend\src\modules\partner\customer\customer.service.ts", "TypeScript", 0, 0, 0, 0, 116, 0, 0, 0, 31, 147
"c:\Users\kunal\Desktop\perojecccttt\wms-project\wms-backend\src\modules\partner\customer\dto\create-customer.dto.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 0, 0, 4, 22
"c:\Users\kunal\Desktop\perojecccttt\wms-project\wms-backend\src\modules\partner\customer\dto\update-customer.dto.ts", "TypeScript", 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\kunal\Desktop\perojecccttt\wms-project\wms-backend\src\modules\partner\customer\entities\customer.entity.ts", "TypeScript", 0, 0, 0, 0, 30, 0, 0, 0, 13, 43
"c:\Users\kunal\Desktop\perojecccttt\wms-project\wms-backend\src\modules\partner\farmer\entities\farmer.entity.ts", "TypeScript", 0, 0, 0, 0, 6, 0, 0, 0, 5, 11
"c:\Users\kunal\Desktop\perojecccttt\wms-project\wms-backend\src\modules\partner\farmer\farmer.controller.ts", "TypeScript", 0, 0, 0, 0, 3, 0, 0, 0, 3, 6
"c:\Users\kunal\Desktop\perojecccttt\wms-project\wms-backend\src\modules\partner\farmer\farmer.module.ts", "TypeScript", 0, 0, 0, 0, 9, 0, 0, 0, 3, 12
"c:\Users\kunal\Desktop\perojecccttt\wms-project\wms-backend\src\modules\partner\farmer\farmer.service.ts", "TypeScript", 0, 0, 0, 0, 3, 0, 0, 0, 3, 6
"c:\Users\kunal\Desktop\perojecccttt\wms-project\wms-backend\src\modules\partner\transporter\entities\transporter.entity.ts", "TypeScript", 0, 0, 0, 0, 6, 0, 0, 0, 5, 11
